queue_rank,event_id,cluster_id,candidate_class,evidence_confidence,candidate_evidence_summary,validation_action_required,latitude,longitude
1,FIRMS_0006,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 176m, NDBI 0.08).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97956,72.56829
2,FIRMS_0012,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 497m, NDBI 0.15).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.983,72.56574
3,FIRMS_0013,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 239m, NDBI 0.06).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.98615,72.56622
4,FIRMS_0014,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 645m, NDBI -0.26).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97836,72.562
5,FIRMS_0015,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 325m, NDBI 0.13).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97905,72.56561
6,FIRMS_0021,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 488m, NDBI 0.20).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97734,72.56386
7,FIRMS_0022,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 496m, NDBI 0.14).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.98167,72.5658
8,FIRMS_0052,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 313m, NDBI 0.15).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97839,72.56555
9,FIRMS_0063,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 516m, NDBI 0.14).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.98062,72.56441
10,FIRMS_0094,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 684m, NDBI -0.06).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.98144,72.56304
11,FIRMS_0098,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 582m, NDBI 0.15).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97749,72.56292
12,FIRMS_0119,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 398m, NDBI 0.11).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97871,72.56477
